Student Name,Age,Gender,Class,Quiz 1,Quiz 2,Quiz 3,Assignment Score,Midterm,Final Exam,Time Spent (hrs/week),Result
Ananya ,,,,absent,,,,,,five,pass
Ananya ,,,,absent,,,,,,five,pass
Priya ,19,,XI,,,,,67,absent,,
Karan,18,,XI,absent,,48,,20,,7.92,
Rahul,17,Female,,,68,,,,,4.11,Fail
Rahul,17,Female,,,68,,,,,4.11,Fail
Meena,seventeen,,10A,,absent,absent,34,absent,absent,,FAIL
Rahul,19,F,12 ,absent,absent,,,absent,,,FAIL
Vikram ,,,,,,74,absent,81,absent,,pass
Sneha ,15,Female,XI,,11,absent,absent,,absent,,Pass
Priya,,M,,72,,absent,,,25,1.29,
Aditi,16,,10A,absent,,absent,,28,,,
Aditi,,,,,,absent,,,absent,4.59,FAIL
Meena,15,F,10-B,,,absent,12,,,,FAIL
Karan,,,XI,,,,absent,26,1,4.92,
Vikram ,17,Female,XI,,70,,,,,,
Rohit,19,Male,XI,,,,,,,,Pass
Ananya,15,Female,10A,,41,,,95,35,,Fail
Ananya,17,M,12 ,33,19,,96,,,five,Fail
Rohit,17,,10A,,96,absent,,,,5.09,
Priya,,Female,10A,,absent,62,absent,,,,pass
Priya,seventeen,,,,88,3,,,,five,Pass
Rohit,,F,10-B,,54,,absent,23,,2.95,
Arjun ,15,Male,XI,absent,,20,58,,absent,3.23,
Karan ,17,Female,,,,,,,absent,,pass
Rohit,,Female,12 ,,,,,absent,,3.95,
Rohit,,Female,12 ,,,,,absent,,3.95,
Rohit,19,Male,12 ,,,,,,absent,6.39,pass
Rohit,18,Male,XI,,,absent,,,41,,
Ananya,,F,XI,,,,absent,absent,7,five,FAIL
Priya,19,Female,,,,,34,,,five,
Aditi,seventeen,F,12 ,,82,absent,absent,,,3.9,
Aditi,seventeen,,,,,,36,53,,,FAIL
Karan,16,M,10A,,absent,,,absent,,,
Vikram,17,,10-B,46,,absent,absent,absent,,five,
Aditi,17,Male,,,,absent,,absent,,8.52,FAIL
Karan,18,Male,10A,,absent,absent,,absent,,,FAIL
Karan,,,XI,,,,,,87,,FAIL
Sneha ,17,Female,,89,,,,,absent,5.39,Fail
Rahul,18,Female,12 ,,absent,absent,51,,,five,pass
Rahul,18,Female,12 ,,absent,absent,51,,,five,pass
Rohit,17,,10A,,81,,,,,2.19,pass
Rohit,17,,10A,,81,,,,,2.19,pass
Karan,18,M,12 ,,7,absent,,,,five,
Karan ,19,F,12 ,,,,absent,absent,,,pass
Rohit,17,,,absent,28,,,65,31,,
Rohit,17,,,absent,28,,,65,31,,
Priya,19,Female,,96,22,,,absent,,five,Pass
Aditi,17,Female,10A,,absent,absent,,32,,five,Pass
Priya,19,M,12 ,,,absent,,,,five,Fail
Aditi ,19,,10A,,50,72,24,,absent,6.78,
Arjun,19,,XI,,5,29,,,absent,five,FAIL
Sneha,15,Female,10A,absent,,8,79,,,,Fail
Priya,19,Male,,27,,,,,,,
Rohit,,,XI,,,3,,,,5.83,pass
Priya ,seventeen,Female,12 ,43,,73,15,,,,pass
Ananya,15,F,XI,absent,absent,,,,,,Pass
Rohit,seventeen,,10A,65,,95,,absent,absent,,pass
Arjun,17,Female,XI,17,absent,,absent,,,4.26,
Arjun,17,Female,XI,17,absent,,absent,,,4.26,
Rohit,16,Male,XI,absent,absent,,,,,five,Pass
Vikram,15,F,XI,,80,15,10,,absent,five,pass
Karan ,19,Male,XI,absent,absent,absent,,91,,4.42,FAIL
Aditi,seventeen,,,38,,,absent,33,,,
Meena,seventeen,Female,12 ,,,,28,,,,FAIL
Meena,18,Female,,81,95,,,absent,,,FAIL
Vikram,seventeen,,,,,,absent,22,,five,Fail
Ananya,18,,,,absent,56,,,,3.06,pass
Sneha,,Female,,,,,,10,,,FAIL
Arjun,16,F,10A,,87,,,,absent,,
Meena,18,Male,10-B,,absent,,,,,,Pass
Priya,18,,,27,absent,absent,35,,,,Fail
Karan,19,F,XI,absent,,,absent,77,34,,pass
Meena,17,M,,82,56,54,,,,five,Pass
Ananya,18,,10A,73,,,68,absent,absent,7.05,
Vikram,15,M,XI,53,,,absent,,,,Pass
Vikram ,,F,10A,,4,absent,,74,,five,FAIL
Meena,18,,10-B,,,,,absent,,,Pass
Ananya,18,F,,13,,,absent,,,,FAIL
Aditi,seventeen,,,24,,absent,73,,absent,,pass
Aditi,15,,XI,,96,,absent,4,57,2.91,pass
Rahul,15,Female,10A,,absent,,,,,,
Meena,17,Male,10-B,,absent,60,absent,absent,,five,Pass
Meena,17,Male,10-B,,absent,60,absent,absent,,five,Pass
Sneha,,,10A,,,absent,9,,,,
Arjun,,Female,10-B,,,,,,,,pass
Meena,seventeen,F,XI,,67,,,absent,,five,
Aditi,,M,,,,,,,,9.25,FAIL
Karan,seventeen,F,12 ,22,,32,,absent,73,,Pass
Ananya ,19,,12 ,,,absent,absent,,,five,Pass
Meena,19,F,10-B,,,absent,absent,,,,
Karan ,19,Male,10-B,absent,68,75,,absent,absent,five,pass
Karan,seventeen,Female,,,absent,absent,,87,absent,five,FAIL
Rahul,16,,XI,0,,,97,,,,Pass
Arjun,18,,,absent,,absent,,absent,,,pass
Ananya,18,Male,,,absent,,,absent,100,,FAIL
Sneha ,17,,10-B,absent,absent,,,,absent,,Pass
Rohit ,16,M,,,,,61,,absent,,Fail
Aditi,,Male,12 ,,,,,,,,
Ananya,18,Male,10A,,78,,,,,8.68,FAIL
Karan,,Female,,,,,,81,,9.11,
Karan,,M,,,absent,absent,89,,,5.18,Fail
Karan,,M,,,absent,absent,89,,,5.18,Fail
Ananya,16,,,,,68,,absent,59,,
Ananya,16,,,,,68,,absent,59,,
Priya,18,,12 ,,,,77,absent,,2.25,
Priya,15,M,,,,absent,,76,15,6.34,FAIL
Rohit,19,M,12 ,,,89,,,absent,,pass
Rohit,19,M,12 ,,,89,,,absent,,pass
Vikram,seventeen,Male,10A,,4,absent,,31,absent,five,FAIL
Rohit,16,M,10-B,,,29,,,,0.91,
Karan,19,Female,10-B,,absent,,,,91,5.23,Pass
Aditi,19,,XI,,,absent,,,,,FAIL
Aditi,19,Female,,,,,absent,,,1.69,pass
Rohit,19,,,,,,12,21,,,Fail
Arjun,17,Male,10-B,,,,absent,,absent,,pass
Sneha ,seventeen,Male,,98,,68,19,,absent,,
Rahul,17,Female,12 ,,,,,absent,,6.28,Pass
Rohit ,18,Female,,absent,,,absent,,,,Fail
Aditi ,17,,10A,absent,,,,absent,absent,,pass
Aditi,19,Male,,,,,,,,,
Sneha,,Female,,6,absent,,,65,52,,
Priya,,Female,XI,,76,,,27,,,Pass
Arjun,15,M,10A,44,,,,,,five,FAIL
Rohit,,,10-B,absent,,59,,,absent,,FAIL
Sneha,,Male,10-B,82,absent,,,,,,Pass
Ananya,,Female,XI,60,11,,24,,,,
Meena,,M,,,absent,85,,,,,FAIL
Karan,17,Female,,48,,31,absent,absent,,five,pass
Rahul ,,,10-B,absent,,,92,,,,FAIL
Priya,,F,12 ,,,,absent,,45,,Fail
Rohit,15,,,,,,absent,,,,pass
Rahul,16,F,10-B,,,,,absent,absent,five,Fail
Aditi,seventeen,M,,36,absent,,13,,,,Pass
Vikram,seventeen,F,XI,,absent,,,50,,five,Fail
Rohit,17,F,,,44,absent,63,,absent,6.75,
Rohit,17,F,,,44,absent,63,,absent,6.75,
Rohit,seventeen,Female,12 ,,absent,absent,,absent,,five,Fail
Ananya,16,Female,,absent,absent,,absent,66,,five,FAIL
Vikram,15,F,XI,41,,,99,,absent,7.05,
Vikram,15,F,XI,41,,,99,,absent,7.05,
Vikram,,,10A,,,,absent,absent,44,,FAIL
Rohit,15,M,10-B,,,absent,,,,,
Aditi,17,Female,10-B,,,,absent,,absent,,Pass
Aditi,17,Female,10-B,,,,absent,,absent,,Pass
Rahul,,,10-B,,,,absent,,absent,,
Rohit,19,Male,XI,,,84,absent,absent,,,
Aditi ,seventeen,M,XI,,,,,,16,five,Pass
Priya,,Male,10A,,85,,,,,five,Pass
Priya,,Male,10A,,85,,,,,five,Pass
Arjun,,,,,absent,,,96,80,five,Pass
Rohit,,F,XI,29,absent,absent,,,,8.59,Fail
Meena,seventeen,Female,,,,,,absent,,,FAIL
Sneha,15,Female,10-B,,2,absent,,,12,5.68,Pass
Karan ,,,12 ,absent,,,,,,0.89,Pass
Karan ,,,12 ,absent,,,,,,0.89,Pass
Rohit,19,,10A,absent,,60,,80,,,
Karan,17,M,10-B,,,absent,,,2,five,
Aditi,17,F,XI,69,,,99,69,,,pass
Aditi ,seventeen,,XI,31,absent,,absent,,,,Fail
Sneha,,Male,12 ,,66,absent,,60,45,,Fail
Priya,16,Female,10-B,,,,absent,47,,five,Pass
Rahul,,Female,12 ,81,,,,,,,pass
Karan,19,F,,,,,,96,,five,
Vikram ,17,Male,XI,,,absent,absent,,,five,Fail
Meena,,M,10A,1,,97,absent,5,,9.05,Fail
Vikram ,17,,XI,,94,absent,,,41,,
Priya,,Female,,,,,,,absent,,FAIL
Rahul,,M,,,,,31,,18,,Fail
Meena,16,F,,,,,,absent,,five,Fail
Vikram,seventeen,Male,10-B,74,,,,,,,FAIL
Ananya ,19,,10A,53,,2,,absent,28,,pass
Rohit,18,Female,12 ,,,,,,13,,Pass
Priya,15,,,,,,,,absent,five,Fail
Rahul,,Male,,3,absent,,absent,71,,,FAIL
Meena ,16,,10-B,,absent,,97,,,five,FAIL
Karan,15,Female,10A,,absent,,,absent,,9.79,pass
Rohit,15,,,,86,,21,,,,
Meena,17,,12 ,22,,,,absent,,,pass
Aditi,,M,10-B,,,absent,absent,,75,five,Pass
Ananya,seventeen,,,,absent,,,85,,five,pass
Sneha,17,,12 ,,,absent,absent,,,five,FAIL
Vikram,,Male,10-B,,absent,,,,,five,Pass
Rohit,17,,,,17,72,,,27,five,
Ananya,seventeen,M,,absent,,,,,,five,
Priya,18,M,,,62,absent,32,absent,,,Pass
Aditi ,16,Female,,,,,,81,absent,,pass
Priya,18,Male,,,8,,absent,,,0.91,
Priya,18,Male,,,8,,absent,,,0.91,
Arjun,,,XI,,absent,2,90,,64,five,pass
Vikram,16,Male,,47,absent,,,,absent,1.99,
Vikram,seventeen,,,,,,,,absent,,Pass
Rohit,18,M,12 ,,,,,absent,66,6.35,Fail
Vikram,18,,XI,,35,absent,,,,,Pass
Rohit,15,Male,,,,absent,,,,,Fail
Rohit,15,Male,10A,,,,absent,22,,,
Arjun,seventeen,,XI,,,absent,,69,,6.91,
Sneha,17,Male,10-B,,40,,absent,,,,FAIL
Karan,15,F,10-B,,,,80,,1,five,
Meena,,Female,12 ,,,43,38,,absent,five,FAIL
Aditi,19,Male,,99,,,,85,80,,Fail
Rahul ,,Male,10A,,,,,98,74,3.59,
Sneha,16,,10-B,absent,,90,29,54,,five,Pass
Aditi,15,,,absent,,,absent,43,19,,FAIL
Rohit,16,,12 ,,absent,,55,absent,,,Pass
Arjun ,15,M,10A,92,,absent,,,,4.54,Pass
Meena,15,Female,XI,absent,,absent,,absent,16,,Fail
Vikram ,19,F,10-B,,absent,76,,,18,five,Pass
Priya,,,,absent,absent,absent,,absent,,,Pass
Priya,,,,absent,absent,absent,,absent,,,Pass
Priya,15,Female,10-B,,absent,,,,17,five,Pass
Rohit,16,,XI,,9,absent,absent,38,,2.29,Fail
Vikram,,Male,12 ,,,,absent,,,five,FAIL
Aditi,,,XI,absent,,15,,,,five,FAIL
Aditi,,,XI,absent,,15,,,,five,FAIL
Vikram,,M,10A,absent,,absent,,,46,3.91,pass
Karan,,,10-B,,60,10,,,,8.15,
Rohit,17,Female,XI,absent,,3,,,,,Pass
Meena ,seventeen,Male,10A,1,93,,,absent,,0.98,pass
Meena,18,,,,,,absent,,,,FAIL
Priya,15,Female,10-B,,,absent,,absent,,,
Sneha ,,F,12 ,,34,71,,,,,Fail
Meena,,,10-B,50,39,absent,,absent,70,,Fail
Vikram,19,Male,10A,,,absent,,,19,,pass
Meena ,15,F,10-B,,,,47,1,,6.58,
Vikram,,Female,10-B,,,absent,,,,3.66,
Sneha,seventeen,,XI,absent,,,,53,absent,9.7,FAIL
Aditi,,M,XI,,5,,,,41,,Pass
Arjun,17,,10-B,,14,absent,,,,five,Fail
Arjun,17,,10-B,,14,absent,,,,five,Fail
Karan,17,,,,,,,,absent,five,FAIL
Ananya,17,,,,,absent,,,absent,,FAIL
Ananya ,18,M,XI,,13,,absent,98,,,Pass
Vikram,,Male,10-B,absent,,absent,,,,,FAIL
Rahul,19,,XI,93,,,absent,15,34,,pass
Rahul,18,Female,XI,,,,,,58,8.96,FAIL
Rahul,18,Male,XI,,absent,,5,,absent,7.99,Fail
Ananya,17,Female,12 ,77,,48,,,54,five,
Aditi,seventeen,Female,10-B,absent,,,,absent,34,five,pass
Rahul ,19,Male,10-B,,absent,,5,absent,,9.39,Fail
Aditi,seventeen,Male,10A,absent,,,,98,,five,
Ananya,,,12 ,,,,8,,absent,,
Rohit,,Male,,6,96,absent,,,absent,,Fail
Arjun,seventeen,F,12 ,absent,,,absent,,52,five,Pass
Vikram,seventeen,F,,,,absent,,70,,,Fail
Aditi,17,Male,10-B,,,,,,44,five,Fail
Priya,seventeen,,,absent,1,,,,,9.82,
Vikram,19,M,10-B,,,,,,,five,Pass
Arjun,18,M,10A,absent,78,absent,,absent,17,,FAIL
Karan,seventeen,F,12 ,26,,,,,,five,
Rahul,16,,10A,absent,,,absent,,,,
Priya ,17,,12 ,2,,,absent,,,five,
Rahul,15,F,12 ,,,,,,,five,pass
Arjun,,Male,,,,48,absent,,absent,7.27,FAIL
Sneha,,M,12 ,absent,,79,absent,1,53,3.78,pass
Aditi,seventeen,F,,,82,,14,26,27,five,pass
Aditi ,,,10-B,absent,,absent,absent,absent,,2.74,FAIL
Ananya,19,Female,12 ,absent,31,66,absent,,58,five,FAIL
Vikram,17,Female,12 ,95,,18,73,38,absent,,pass
Vikram,17,Female,12 ,95,,18,73,38,absent,,pass
Vikram,16,,10-B,61,,absent,,,absent,,Pass
Ananya,17,M,10-B,,0,,,18,60,4.95,
Rohit ,15,M,,1,57,absent,98,,97,five,Fail
Ananya,,F,,,,24,,,,8.17,Fail
Rohit,19,,XI,,,absent,,,absent,,FAIL
Sneha ,17,Female,,,,,,34,absent,,
Sneha,15,Male,,77,,,81,,96,,Pass
Ananya,,Female,,,65,,absent,,2,8.83,FAIL
Meena ,,Male,,,,,,29,,,Fail
Arjun,,Male,10-B,absent,7,absent,17,48,absent,6.41,pass
Ananya,19,,,,,,absent,absent,,,pass
Sneha,19,M,,,absent,,49,,,five,FAIL
Priya,18,F,10-B,,,,,,,five,
Arjun,15,M,,69,,,absent,,,five,FAIL
Meena,17,Male,,,,absent,4,absent,,,Pass
Rohit,,,12 ,absent,,absent,,13,,,Fail
Aditi,,Male,10-B,,,,6,absent,,3.61,
Aditi,,Male,10-B,,,,6,absent,,3.61,
Rahul,16,M,10-B,absent,,56,,24,,five,FAIL
Aditi,18,M,XI,,,,,absent,,,Fail
Rahul ,18,M,10-B,2,,,absent,,,,Pass
Aditi ,15,Male,10A,,,,,,absent,five,Pass
Rohit,,Male,,,,,,,98,,Fail
Karan,19,M,,,absent,,,,,,pass
Vikram,18,Male,,82,,40,,absent,,five,pass
Ananya,seventeen,Male,12 ,,absent,77,,,87,1.23,
Vikram,,Female,,,,55,,,,,Fail
Sneha,,Male,,30,,,,,absent,,FAIL
Vikram,16,Female,12 ,96,absent,,58,,18,,Fail
Aditi,15,,,88,absent,,63,91,,,Fail
Rahul,15,Female,,absent,,52,,,,five,FAIL
Sneha,19,,XI,,,,,,,,FAIL
Arjun ,,,,,,,,,,7.83,FAIL
Rohit,18,F,10A,,,,,absent,,five,
Rohit,17,F,XI,61,absent,,absent,,68,,Pass
Karan,17,Female,10A,,,,30,,,five,FAIL
Priya,,F,10-B,,,,absent,absent,,,FAIL
Arjun,15,,10-B,absent,,,,absent,,,Pass
Arjun,16,Male,,,,,,absent,,4.24,
Rahul,16,Female,12 ,,,,8,absent,,9.97,Fail
Aditi,16,M,12 ,,,absent,,,,,
Meena,16,Male,10A,27,absent,,,58,,,
Ananya,19,Female,10-B,,,absent,8,,9,five,Fail
Sneha,,,,,absent,,,,absent,,Fail
Priya,19,,,absent,,,,absent,,,pass
Priya,19,,,absent,,,,absent,,,pass
Arjun,,M,XI,,,,,,absent,,pass
Sneha,15,Male,,58,,,,,,five,
Ananya,15,Female,,absent,,absent,,,21,2.3,
Rahul,,M,,,absent,absent,,,,,pass
Karan ,,F,10A,absent,absent,absent,absent,,,,pass
Rahul,17,F,,,,absent,,44,,five,
Meena ,18,,XI,absent,,,absent,,65,five,Pass
Meena,seventeen,Female,10A,,38,absent,,15,,,
Rahul,,Male,10-B,,,absent,,absent,,6.63,
Aditi,19,M,12 ,,absent,,absent,,absent,,Fail
Rohit,16,F,12 ,,absent,,,,,five,
Rohit,16,F,12 ,,absent,,,,,five,
Rohit,seventeen,Male,XI,90,,,38,,,,pass
Rahul ,18,,10A,absent,,absent,absent,,,five,
Vikram ,seventeen,,,24,,,absent,,absent,,Pass
Meena,,M,,,absent,,,,,,
Rahul,15,,XI,25,,,,absent,absent,,FAIL
Ananya,15,Female,12 ,absent,absent,absent,,19,absent,1.24,pass
Rahul,18,,10A,,4,,,,,five,
Aditi,,,10-B,,,,,absent,,five,
Rohit,17,Male,12 ,,,,absent,,32,five,Fail
Rahul,17,Male,,,,87,,absent,,,Fail
Rahul,seventeen,,10A,46,,absent,13,absent,77,2.12,FAIL
Karan ,,Male,XI,absent,88,,,absent,,,
Arjun,17,,,,,3,absent,,,,
Vikram,,Female,,,absent,,absent,absent,,,Fail
Karan,,Male,10-B,63,,,,,,,Pass
Rahul,17,M,10-B,,100,,absent,absent,,9.15,pass
Ananya,,M,XI,89,,,,,absent,,Pass
Rahul,,F,10-B,,absent,absent,absent,,absent,five,Fail
Vikram,15,Female,10A,,,,absent,,,7.28,
Aditi,,Female,XI,,,,absent,6,,,
Arjun,15,,10A,,,82,20,,,,Pass
Rohit,16,F,,59,,,absent,,,,
Rohit ,18,Female,,,absent,,absent,absent,,,
Arjun ,,,XI,,,,,,absent,five,Fail
Ananya,19,F,10-B,absent,absent,absent,,,9,,Fail
Priya,,,10A,38,,84,,absent,89,five,Fail
Priya,,,10A,38,,84,,absent,89,five,Fail
Rohit,,F,,,93,absent,absent,24,76,,
Rohit,seventeen,F,10-B,,,,,50,66,five,
Arjun ,,Male,10-B,,absent,55,,,,,Fail
Sneha,15,Female,10-B,absent,,18,absent,,44,five,
Arjun,,,,,,absent,absent,,93,,FAIL
Vikram,,Male,XI,,absent,,,,,,
Sneha,,Male,,absent,,,13,,44,,
Sneha,,Male,,absent,,,13,,44,,
Vikram,,,10-B,absent,,,30,,,five,
Ananya,19,Female,,,27,76,,absent,absent,,Fail
Meena,,,,absent,,,,,,4.79,pass
Aditi,,M,,,19,,absent,,,9.33,
Arjun ,16,M,10-B,,absent,92,,absent,absent,,
Vikram ,,F,12 ,,35,,,,absent,,
Rahul,,Female,10A,,absent,absent,,,,,Fail
Rohit,seventeen,Male,XI,,,absent,59,absent,46,five,Pass
Karan,17,,10-B,,absent,absent,11,absent,,4.41,Fail
Karan,16,,10A,,,,,,,,
Sneha,17,F,12 ,absent,,,absent,absent,34,4.68,FAIL
Sneha,17,F,12 ,absent,,,absent,absent,34,4.68,FAIL
Rohit,,F,10-B,82,,95,,56,,,
Arjun ,,M,,absent,,,absent,84,,9.48,pass
Priya,seventeen,,10-B,14,,,,,82,five,
Vikram,seventeen,,10-B,32,,absent,52,47,absent,,Pass
Karan,19,,,,,absent,46,,,5.7,Fail
Priya ,seventeen,,10-B,,,,,,71,,Fail
Vikram,19,F,,88,,absent,,,,,Pass
Rohit,,,12 ,8,,,,79,absent,2.92,FAIL
Ananya,seventeen,Female,,absent,24,,,,,,
Aditi,17,,,77,absent,28,,,,,Fail
Aditi,16,Female,10-B,99,28,,29,,,,FAIL
Aditi ,,,,,,84,,,,,pass
Vikram,15,Female,12 ,98,absent,,absent,31,27,,Pass
Priya ,15,Female,,,,absent,37,,,,Pass
Vikram,15,F,,,,42,absent,,absent,3.74,Fail
Vikram,19,,12 ,100,absent,,,,,,
Aditi,19,Male,,absent,,absent,,,,2.16,FAIL
Karan,17,F,XI,99,48,83,absent,,,3.49,Pass
Rahul,15,M,,,absent,,87,,,five,
Rohit,19,Male,10-B,,13,absent,absent,88,,,Fail
Ananya,,Male,XI,,,,absent,,absent,five,
Rohit,19,Male,10-B,absent,41,,,,absent,,pass
Aditi ,16,,XI,,,absent,,,,five,pass
Meena,,Female,12 ,,,absent,,absent,,five,
Rohit,,Female,,absent,,absent,absent,,,3.24,Fail
Priya,18,M,,33,absent,28,,absent,80,6.51,pass
Vikram,16,Male,XI,,,77,6,absent,absent,8.71,
Meena,18,M,10A,,77,55,26,,,,FAIL
Ananya,16,F,XI,,,,,40,,,
Meena,17,,10A,,52,,,,absent,7.8,Pass
Sneha,15,M,,absent,47,47,,,,five,
Meena,15,Female,12 ,,,,50,,,five,
Ananya,16,Female,10-B,,,,,,,,
Karan,,M,XI,22,,,absent,absent,,,Fail
Karan,seventeen,Female,,44,absent,,,65,,,
Vikram,,Male,10A,absent,,15,,,absent,,
Meena ,seventeen,F,10-B,,absent,5,,,absent,,Pass
Aditi,16,,,,,,,absent,61,8.65,
Priya ,seventeen,,10A,,absent,absent,,,,,FAIL
Vikram,17,F,XI,,,,absent,84,absent,,FAIL
Ananya ,19,Male,10-B,,,,,44,absent,2.49,Pass
Ananya ,19,Male,10-B,,,,,44,absent,2.49,Pass
Karan,16,F,,absent,,,69,99,,,
Arjun,seventeen,,12 ,,absent,41,absent,,28,five,
Sneha,15,,10-B,,absent,19,,,,,Pass
Meena,15,Female,10-B,,,30,,,71,5.78,pass
Arjun,18,Female,12 ,absent,,absent,absent,,absent,7.26,
Vikram,,F,10A,,,,absent,93,,five,
Meena ,16,,,,,,,,,,Pass
Meena,16,,12 ,,20,,,,,9.71,
Aditi,seventeen,M,XI,absent,,,absent,,,,Pass
Vikram,,,,,,,,,absent,,Pass
Rohit,,,10-B,,,,,absent,,five,Pass
Karan,18,M,XI,,,,absent,,2,,Pass
Meena ,,Female,10-B,9,,,absent,,58,9.53,pass
Arjun,16,,10-B,,absent,,,72,,five,Fail
Rohit ,18,Male,12 ,85,absent,,,,absent,5.08,Fail
Meena,16,F,10-B,,,,,,,,
Meena,seventeen,Male,,,40,,absent,,,,
Rohit,,M,XI,,,,58,,,five,
Ananya,,,,,51,,,,16,,FAIL
Karan ,seventeen,F,XI,,,,77,,,,FAIL
Arjun,16,M,10-B,,,absent,absent,,,five,Pass
Rahul,17,Male,10-B,,,absent,64,absent,,,FAIL
Rahul,18,,,absent,,,,absent,absent,,Fail
Arjun,16,Male,10A,,,,,,,,Fail
Arjun ,16,,12 ,,,,74,,,five,Pass
Meena ,,Female,12 ,,absent,,52,absent,,five,Fail
Aditi,18,Male,,,,8,3,,,five,
Aditi,18,Male,,,,8,3,,,five,
Rohit,17,F,10-B,1,absent,,absent,absent,,,
Karan ,15,M,12 ,71,,,,,,five,FAIL
Karan,18,,10-B,,,,84,,,,Pass
Priya,18,,,90,absent,63,,,,,FAIL
Priya,18,,,90,absent,63,,,,,FAIL
Karan ,16,,10A,,93,,absent,,77,5.04,Pass
Meena,17,Female,12 ,,absent,6,,,,,
Aditi,,,XI,,,47,,,,,Fail
Vikram ,15,,,36,,,,,53,6.07,Pass
Arjun,15,,XI,45,,,absent,,,,FAIL
Aditi ,,M,10-B,absent,absent,,,,absent,6.01,pass
Rahul,18,M,10-B,absent,,49,,,absent,,pass
Priya,15,,,,,,absent,69,absent,,Fail
Karan,15,,10A,absent,31,,0,,,five,FAIL
Meena,16,M,XI,87,,8,,12,,,Fail
Rahul,seventeen,,XI,absent,,,,,3,,FAIL
Priya,16,F,,absent,,,,,,,Fail
Aditi,,Male,12 ,,64,,,61,12,,
Priya,seventeen,,XI,,,,35,,absent,,FAIL
Ananya,seventeen,,,,,55,,,,five,
Sneha,seventeen,Male,10-B,absent,77,,64,,19,five,FAIL
Arjun,15,,,,,absent,absent,,71,,
Ananya,,M,,absent,,87,,absent,,5.65,
Aditi,seventeen,F,12 ,,,absent,,,,,Fail
Rohit,19,,10A,,absent,absent,,58,,6.84,Pass
Priya,19,Male,12 ,,93,absent,absent,,,five,FAIL
Sneha,18,,XI,absent,,,,absent,absent,five,pass
Sneha,seventeen,Male,,,,,absent,,,five,
Arjun,seventeen,,,,,53,absent,absent,,,
Rohit ,15,Female,10A,,63,,,,,,
Meena ,,F,XI,48,0,50,,,,five,
Sneha,18,Female,12 ,87,absent,,,,,,
Arjun,seventeen,,12 ,,,absent,,absent,20,five,pass
Ananya,,,12 ,,,absent,,,,5.19,Fail
Sneha ,16,M,10A,,,absent,,,,five,Fail
Aditi,seventeen,Female,,63,,,,,28,five,pass
Aditi ,seventeen,Male,,87,absent,,98,,,,pass
Arjun,17,M,XI,,,absent,41,,,,FAIL
Rohit,17,,,,,,6,63,17,,Fail
Ananya,16,,XI,69,,,absent,,,6.82,Pass
Rohit,15,M,,,,absent,,86,absent,,Pass
Arjun,19,Male,10A,absent,absent,91,,,,five,Pass
Meena,19,,12 ,14,73,absent,55,80,absent,,Pass
Vikram,17,M,12 ,97,,,,absent,40,five,Fail
Vikram,15,F,10-B,,,,,0,,five,Fail
Ananya,,Male,10-B,,,absent,,absent,,five,
Vikram,18,,XI,67,absent,,absent,,,8.9,pass
Sneha,15,,,27,,30,,,,,
Vikram,19,,10-B,,absent,,absent,,absent,1.94,Fail
Rohit,16,F,10A,71,,,,,absent,,FAIL
Meena ,19,F,12 ,,,absent,,,,,pass
Vikram,seventeen,,10A,,,,,0,,1.13,Fail
Priya ,17,,10A,,,34,,absent,,,pass
Arjun,15,,10A,absent,absent,absent,,,,five,pass
Vikram,19,M,12 ,,,absent,,,absent,,FAIL
Sneha,,,XI,,59,,81,,,,Fail
Priya,15,Female,12 ,absent,,absent,,,,8.06,Fail
Karan,seventeen,,10A,,97,absent,,,12,five,
Sneha,17,,,,24,,93,,absent,five,pass
Karan,17,Male,XI,,,,absent,,41,2.57,
Meena,15,,,,69,,25,absent,48,,
Priya,15,Male,10-B,14,,2,,,,,
Priya,15,Male,10-B,14,,2,,,,,
Ananya,,Male,10A,absent,absent,absent,36,52,,,
Rohit,,,,absent,,,,100,45,,pass
Sneha,18,F,,,,,,17,absent,five,Fail
Sneha ,seventeen,M,,,48,92,absent,,83,five,Fail
Aditi,18,,10-B,absent,,,,61,,6.53,pass
Aditi,19,,,4,absent,0,84,absent,,,Pass
Karan,,M,,,,absent,,,,,
Sneha,seventeen,F,12 ,absent,,absent,30,,absent,7.92,
Rahul,17,M,,,13,,90,62,23,9.46,Fail
Rahul,,F,10A,,,absent,,,absent,9.06,FAIL
Arjun,18,M,,24,,absent,,76,,,Pass
Vikram,15,F,,75,,2,85,absent,,five,Pass
Arjun,,Male,,,,,47,,,,
Aditi,,,10-B,,,,3,,,,
Vikram ,seventeen,Female,,,absent,81,absent,,,,pass
Aditi ,19,,XI,,,,,,,,Fail
Arjun,15,F,10-B,,,,,,,,Fail
Rahul,18,,XI,35,,,absent,absent,4,,Fail
Arjun,16,,10A,,,,,,,five,Pass
Karan,15,Female,,,,87,,,,,
